#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_007795.1	666418	667062	+	3919441	-	SAOUHSC_00678	YP_499237.1	214	-	hypothetical protein SAOUHSC_00678
chr	NC_007795.1	667178	668044	+	3919442	-	SAOUHSC_00679	YP_499238.1	288	-	hypothetical protein SAOUHSC_00679
chr	NC_007795.1	668104	668199	+	3919443	-	SAOUHSC_00680	YP_499239.1	31	-	hypothetical protein SAOUHSC_00680
chr	NC_007795.1	668245	669465	+	3919444	-	SAOUHSC_00681	YP_499240.1	406	-	major facilitator superfamily protein superfamily
chr	NC_007795.1	669462	669950	+	3919445	-	SAOUHSC_00682	YP_499241.1	162	-	hypothetical protein SAOUHSC_00682
chr	NC_007795.1	670049	670738	-	3919446	-	SAOUHSC_00683	YP_499242.1	229	-	hypothetical protein SAOUHSC_00683
chr	NC_007795.1	670865	671308	+	3919447	-	SAOUHSC_00684	YP_499243.1	147	-	hypothetical protein SAOUHSC_00684
chr	NC_007795.1	671375	671770	+	3920989	-	SAOUHSC_00685	YP_499244.1	131	-	hypothetical protein SAOUHSC_00685
chr	NC_007795.1	671908	672207	+	3920990	-	SAOUHSC_00686	YP_499245.1	99	-	hypothetical protein SAOUHSC_00686
chr	NC_007795.1	672287	672829	+	3920991	-	SAOUHSC_00687	YP_499246.1	180	-	hypothetical protein SAOUHSC_00687
chr	NC_007795.1	672925	673491	-	3920992	-	SAOUHSC_00688	YP_499247.1	188	-	hypothetical protein SAOUHSC_00688
chr	NC_007795.1	673493	673951	-	3920993	-	SAOUHSC_00689	YP_499248.1	152	-	hypothetical protein SAOUHSC_00689
chr	NC_007795.1	673954	674637	-	3920994	-	SAOUHSC_00690	YP_499249.1	227	-	hypothetical protein SAOUHSC_00690
chr	NC_007795.1	674809	675684	-	3920995	-	SAOUHSC_00691	YP_499250.1	291	-	undecaprenyl pyrophosphate phosphatase
chr	NC_007795.1	675903	677534	+	3920996	-	SAOUHSC_00692	YP_499251.1	543	-	hypothetical protein SAOUHSC_00692
chr	NC_007795.1	677531	679204	+	3920997	-	SAOUHSC_00693	YP_499252.1	557	-	hypothetical protein SAOUHSC_00693
chr	NC_007795.1	679331	679774	-	3920998	-	SAOUHSC_00694	YP_499253.1	147	-	hypothetical protein SAOUHSC_00694
chr	NC_007795.1	680001	680927	+	3920999	-	SAOUHSC_00695	YP_499254.1	308	-	hypothetical protein SAOUHSC_00695
chr	NC_007795.1	681030	681938	+	3921000	-	SAOUHSC_00696	YP_499255.1	302	-	hypothetical protein SAOUHSC_00696
chr	NC_007795.1	681973	682260	+	3921001	-	SAOUHSC_00697	YP_499256.1	95	-	hypothetical protein SAOUHSC_00697
chr	NC_007795.1	682543	684096	+	3921002	-	SAOUHSC_00698	YP_499257.1	517	-	hypothetical protein SAOUHSC_00698
chr	NC_007795.1	684182	685555	+	3921003	-	SAOUHSC_00699	YP_499258.1	457	-	deoxyribodipyrimidine photolyase
chr	NC_007795.1	685710	686057	-	3921004	-	SAOUHSC_00700	YP_499259.1	115	-	hypothetical protein SAOUHSC_00700
chr	NC_007795.1	685991	686608	-	3921005	-	SAOUHSC_00701	YP_499260.1	205	-	hypothetical protein SAOUHSC_00701
chr	NC_007795.1	686794	687216	-	3921006	-	SAOUHSC_00702	YP_499261.1	140	-	hypothetical protein SAOUHSC_00702
chr	NC_007795.1	687425	688591	+	3921007	-	SAOUHSC_00703	YP_499262.1	388	-	quinolone resistance protein NorA
chr	NC_007795.1	688884	689336	+	3921008	-	SAOUHSC_00704	YP_499263.1	150	-	hypothetical protein SAOUHSC_00704
chr	NC_007795.1	689510	689992	+	3919332	-	SAOUHSC_00705	YP_499264.1	160	-	hypothetical protein SAOUHSC_00705
chr	NC_007795.1	690242	691006	+	3919333	-	SAOUHSC_00706	YP_499265.1	254	-	hypothetical protein SAOUHSC_00706
chr	NC_007795.1	691003	691923	+	3919334	-	SAOUHSC_00707	YP_499266.1	306	-	fructose 1-phosphate kinase
chr	NC_007795.1	691929	693887	+	3919335	-	SAOUHSC_00708	YP_499267.1	652	-	fructose specific permease
chr	NC_007795.1	694195	695376	+	3919337	-	SAOUHSC_00710	YP_499269.1	393	-	N-acetylglucosamine-6-phosphate deacetylase
chr	NC_007795.1	695597	696946	+	3919338	-	SAOUHSC_00711	YP_499270.1	449	-	hypothetical protein SAOUHSC_00711
chr	NC_007795.1	697168	698007	+	3919339	-	SAOUHSC_00712	YP_499271.1	279	-	hypothetical protein SAOUHSC_00712
chr	NC_007795.1	698139	699122	+	3919340	-	SAOUHSC_00713	YP_499272.1	327	-	hypothetical protein SAOUHSC_00713
chr	NC_007795.1	699194	700249	-	3919341	-	SAOUHSC_00714	YP_499273.1	351	-	sensor histidine kinase SaeS
chr	NC_007795.1	700249	700935	-	3919342	-	SAOUHSC_00715	YP_499274.1	228	-	response regulator
chr	NC_007795.1	700910	701383	-	3919343	-	SAOUHSC_00716	YP_499275.1	157	-	hypothetical protein SAOUHSC_00716
chr	NC_007795.1	701725	702165	-	3919344	-	SAOUHSC_00717	YP_499276.1	146	-	hypothetical protein SAOUHSC_00717
chr	NC_007795.1	702445	703029	-	3919345	-	SAOUHSC_00718	YP_499277.1	194	-	hypothetical protein SAOUHSC_00718
chr	NC_007795.1	703128	703841	-	3919346	-	SAOUHSC_00719	YP_499278.1	237	-	hypothetical protein SAOUHSC_00719
chr	NC_007795.1	703845	704264	-	3919347	-	SAOUHSC_00720	YP_499279.1	139	-	6-pyruvoyl tetrahydropterin synthase
chr	NC_007795.1	704266	704934	-	3919348	-	SAOUHSC_00721	YP_499280.1	222	-	hypothetical protein SAOUHSC_00721
chr	NC_007795.1	705285	705878	+	3919349	-	SAOUHSC_00722	YP_499281.1	197	-	para-aminobenzoate synthase glutamine amidotransferase component II
chr	NC_007795.1	705862	707013	+	3919350	-	SAOUHSC_00723	YP_499282.1	383	-	hypothetical protein SAOUHSC_00723
chr	NC_007795.1	707013	707621	+	3920969	-	SAOUHSC_00724	YP_499283.1	202	-	chorismate binding protein
chr	NC_007795.1	707687	707893	+	3920970	-	SAOUHSC_00725	YP_499284.1	68	-	hypothetical protein SAOUHSC_00725
chr	NC_007795.1	707981	708691	+	3920971	-	SAOUHSC_00726	YP_499285.1	236	-	hypothetical protein SAOUHSC_00726
chr	NC_007795.1	708675	709679	+	3920972	-	SAOUHSC_00727	YP_499286.1	334	-	hypothetical protein SAOUHSC_00727
chr	NC_007795.1	710153	712093	+	3920973	-	SAOUHSC_00728	YP_499287.1	646	-	hypothetical protein SAOUHSC_00728
chr	NC_007795.1	712364	714247	+	3920974	-	SAOUHSC_00729	YP_499289.1	627	-	ABC transporter ATP-binding protein
chr	NC_007795.1	714259	716040	+	3920975	-	SAOUHSC_00730	YP_499290.1	593	-	ATP-dependent DNA helicase RecQ
chr	NC_007795.1	716262	717239	+	3920976	-	SAOUHSC_00731	YP_499291.1	325	-	ABC transporter
chr	NC_007795.1	717232	718746	+	3920977	-	SAOUHSC_00732	YP_499292.1	504	-	amino acid ABC transporter permease
chr	NC_007795.1	718986	720044	+	3920978	-	SAOUHSC_00733	YP_499293.1	352	-	histidinol-phosphate aminotransferase
chr	NC_007795.1	720395	720937	+	3920979	-	SAOUHSC_00734	YP_499294.1	180	-	hypothetical protein SAOUHSC_00734
chr	NC_007795.1	721050	721148	+	3920980	-	SAOUHSC_00735	YP_499295.1	32	-	hypothetical protein SAOUHSC_00735
chr	NC_007795.1	721561	722478	-	3920981	-	SAOUHSC_00736	YP_499296.1	305	-	hypothetical protein SAOUHSC_00736
chr	NC_007795.1	722569	722670	+	3920982	-	SAOUHSC_00737	YP_499297.1	33	-	hypothetical protein SAOUHSC_00737
chr	NC_007795.1	722748	724253	-	3920983	-	SAOUHSC_00738	YP_499298.1	501	-	hypothetical protein SAOUHSC_00738
chr	NC_007795.1	724594	725094	-	3920984	-	SAOUHSC_00739	YP_499299.1	166	-	7-cyano-7-deazaguanine reductase
chr	NC_007795.1	725114	725848	-	3920985	-	SAOUHSC_00740	YP_499300.1	244	-	hypothetical protein SAOUHSC_00740
chr	NC_007795.1	726781	727179	+	3920986	nrdI	SAOUHSC_00741	YP_499301.1	132	-	ribonucleotide reductase stimulatory protein
chr	NC_007795.1	727082	729247	+	3920987	-	SAOUHSC_00742	YP_499302.1	721	-	ribonucleotide-diphosphate reductase subunit alpha
chr	NC_007795.1	729365	730336	+	3920988	nrdF	SAOUHSC_00743	YP_499303.1	323	-	ribonucleotide-diphosphate reductase subunit beta
chr	NC_007795.1	730469	730573	+	3919506	-	SAOUHSC_00744	YP_499304.1	34	-	hypothetical protein SAOUHSC_00744
chr	NC_007795.1	730850	731005	+	3919507	-	SAOUHSC_00745	YP_499305.1	51	-	hypothetical protein SAOUHSC_00745
chr	NC_007795.1	731044	732015	+	3919508	-	SAOUHSC_00746	YP_499306.1	323	-	hypothetical protein SAOUHSC_00746
chr	NC_007795.1	732002	732958	+	3919509	-	SAOUHSC_00747	YP_499307.1	318	-	hypothetical protein SAOUHSC_00747
chr	NC_007795.1	732955	733716	+	3919510	-	SAOUHSC_00748	YP_499308.1	253	-	hypothetical protein SAOUHSC_00748
chr	NC_007795.1	733835	734863	+	3919511	-	SAOUHSC_00749	YP_499309.1	342	-	hypothetical protein SAOUHSC_00749
chr	NC_007795.1	735180	735494	-	3919512	-	SAOUHSC_00751	YP_499310.1	104	-	hypothetical protein SAOUHSC_00751
chr	NC_007795.1	735512	736435	-	3919513	murB	SAOUHSC_00752	YP_499311.1	307	-	UDP-N-acetylenolpyruvoylglucosamine reductase
chr	NC_007795.1	736562	737080	-	3919514	-	SAOUHSC_00753	YP_499312.1	172	-	hypothetical protein SAOUHSC_00753
chr	NC_007795.1	737200	738078	+	3919515	-	SAOUHSC_00754	YP_499313.1	292	-	hypothetical protein SAOUHSC_00754
chr	NC_007795.1	738232	738552	+	3919516	-	SAOUHSC_00755	YP_499314.1	106	-	hypothetical protein SAOUHSC_00755
chr	NC_007795.1	738977	740101	+	3919517	-	SAOUHSC_00756	YP_499315.1	374	-	hypothetical protein SAOUHSC_00756
chr	NC_007795.1	740290	741516	-	3919518	-	SAOUHSC_00757	YP_499316.1	408	-	peptidase T
chr	NC_007795.1	741530	742024	-	3919519	-	SAOUHSC_00758	YP_499317.1	164	-	hypothetical protein SAOUHSC_00758
chr	NC_007795.1	742042	742803	-	3919520	-	SAOUHSC_00759	YP_499318.1	253	-	hypothetical protein SAOUHSC_00759
chr	NC_007795.1	742999	744069	-	3919521	-	SAOUHSC_00760	YP_499319.1	356	-	hypothetical protein SAOUHSC_00760
chr	NC_007795.1	744387	745442	+	3919522	-	SAOUHSC_00762	YP_499320.1	351	-	hypothetical protein SAOUHSC_00762
chr	NC_007795.1	745612	746253	-	3919523	-	SAOUHSC_00763	YP_499321.1	213	-	hypothetical protein SAOUHSC_00763
chr	NC_007795.1	746397	746780	+	3919524	-	SAOUHSC_00764	YP_499322.1	127	-	hypothetical protein SAOUHSC_00764
chr	NC_007795.1	747288	748226	+	3919057	-	SAOUHSC_00765	YP_499323.1	312	-	hypothetical protein SAOUHSC_00765
chr	NC_007795.1	748219	748893	+	3919058	-	SAOUHSC_00766	YP_499324.1	224	-	hypothetical protein SAOUHSC_00766
chr	NC_007795.1	748954	749526	+	3919059	-	SAOUHSC_00767	YP_499325.1	190	-	hypothetical protein SAOUHSC_00767
chr	NC_007795.1	749940	752471	+	3919060	secA	SAOUHSC_00769	YP_499326.1	843	-	preprotein translocase subunit SecA
chr	NC_007795.1	752513	752617	+	3919061	-	SAOUHSC_00770	YP_499327.1	34	-	hypothetical protein SAOUHSC_00770
chr	NC_007795.1	753021	753896	+	3919062	-	SAOUHSC_00771	YP_499328.1	291	-	peptide chain release factor 2
chr	NC_007795.1	754050	754157	+	3919063	-	SAOUHSC_00772	YP_499329.1	35	-	hypothetical protein SAOUHSC_00772
chr	NC_007795.1	754305	755144	+	3919064	-	SAOUHSC_00773	YP_499330.1	279	-	LysM domain-containing protein
chr	NC_007795.1	755318	755968	+	3919065	-	SAOUHSC_00774	YP_499331.1	216	-	hypothetical protein SAOUHSC_00774
chr	NC_007795.1	755965	756201	+	3919066	-	SAOUHSC_00775	YP_499332.1	78	-	hypothetical protein SAOUHSC_00775
chr	NC_007795.1	756470	757501	+	3919067	-	SAOUHSC_00776	YP_499333.1	343	-	excinuclease ABC subunit B, partial
chr	NC_007795.1	757511	758527	+	3919068	-	SAOUHSC_00778	YP_499334.1	338	-	hypothetical protein SAOUHSC_00778
chr	NC_007795.1	758680	759654	+	3919069	-	SAOUHSC_00779	YP_499336.1	324	-	excinuclease ABC subunit B, partial
chr	NC_007795.1	759662	762508	+	3919070	uvrA	SAOUHSC_00780	YP_499337.1	948	-	excinuclease ABC subunit A
chr	NC_007795.1	763170	764102	+	3919071	-	SAOUHSC_00781	YP_499338.1	310	-	HPr kinase/phosphorylase
chr	NC_007795.1	764108	764947	+	3919072	-	SAOUHSC_00782	YP_499339.1	279	-	prolipoprotein diacylglyceryl transferase
chr	NC_007795.1	764955	765440	+	3919073	-	SAOUHSC_00783	YP_499340.1	161	-	hypothetical protein SAOUHSC_00783
chr	NC_007795.1	765448	766887	+	3919074	-	SAOUHSC_00784	YP_499341.1	479	-	hypothetical protein SAOUHSC_00784
chr	NC_007795.1	766954	767889	+	3919075	-	SAOUHSC_00785	YP_499342.1	311	-	thioredoxin reductase
chr	NC_007795.1	768263	768688	-	3919076	-	SAOUHSC_00786	YP_499343.1	141	-	hypothetical protein SAOUHSC_00786
chr	NC_007795.1	768883	769794	+	3919351	-	SAOUHSC_00787	YP_499344.2	303	-	hypothetical protein SAOUHSC_00787
chr	NC_007795.1	769791	770786	+	3919352	-	SAOUHSC_00788	YP_499345.1	331	-	hypothetical protein SAOUHSC_00788
chr	NC_007795.1	770896	771840	+	3919353	-	SAOUHSC_00789	YP_499346.1	314	-	hypothetical protein SAOUHSC_00789
chr	NC_007795.1	772413	773000	+	3919354	clpP	SAOUHSC_00790	YP_499347.1	195	-	ATP-dependent Clp protease proteolytic subunit
chr	NC_007795.1	773243	774145	-	3919355	-	SAOUHSC_00792	YP_499348.1	300	-	hypothetical protein SAOUHSC_00792
chr	NC_007795.1	774848	775477	+	3919356	-	SAOUHSC_00793	YP_499349.1	209	-	hypothetical protein SAOUHSC_00793
chr	NC_007795.1	776119	777132	+	3919357	-	SAOUHSC_00794	YP_499350.1	337	-	glycolytic operon regulator
chr	NC_007795.1	777185	778195	+	3919358	-	SAOUHSC_00795	YP_499351.1	336	-	glyceraldehyde-3-phosphate dehydrogenase
chr	NC_007795.1	778334	779524	+	3919359	pgk	SAOUHSC_00796	YP_499352.1	396	-	phosphoglycerate kinase
chr	NC_007795.1	779646	780407	+	3919360	tpiA	SAOUHSC_00797	YP_499353.1	253	-	triosephosphate isomerase
chr	NC_007795.1	780410	781927	+	3919361	-	SAOUHSC_00798	YP_499354.1	505	-	phosphoglyceromutase
chr	NC_007795.1	782057	783361	+	3919362	eno	SAOUHSC_00799	YP_499355.1	434	-	phosphopyruvate hydratase
chr	NC_007795.1	783701	784159	+	3919363	-	SAOUHSC_00800	YP_499356.1	152	-	hypothetical protein SAOUHSC_00800
chr	NC_007795.1	784226	784459	+	3919364	secG	SAOUHSC_00801	YP_499357.2	77	-	preprotein translocase subunit SecG
chr	NC_007795.1	784575	785315	+	3919365	-	SAOUHSC_00802	YP_499358.1	246	-	carboxylesterase
chr	NC_007795.1	785349	787721	+	3919366	-	SAOUHSC_00803	YP_499359.1	790	-	ribonuclease R
chr	NC_007795.1	787743	788207	+	3919367	smpB	SAOUHSC_00804	YP_499360.1	154	-	SsrA-binding protein
chr	NC_007795.1	789529	789852	-	3919369	-	SAOUHSC_00806	YP_499362.1	107	-	hypothetical protein SAOUHSC_00806
chr	NC_007795.1	789868	790014	-	3919370	-	SAOUHSC_00807	YP_499363.1	48	-	hypothetical protein SAOUHSC_00807
chr	NC_007795.1	790206	790934	-	3919371	-	SAOUHSC_00808	YP_499364.1	242	-	hypothetical protein SAOUHSC_00808
chr	NC_007795.1	791370	791525	+	3919372	-	SAOUHSC_00809	YP_499365.1	51	-	hypothetical protein SAOUHSC_00809
chr	NC_007795.1	791533	792054	+	3919373	-	SAOUHSC_00810	YP_499366.1	173	-	hypothetical protein SAOUHSC_00810
chr	NC_007795.1	792193	792723	+	3919374	-	SAOUHSC_00811	YP_499367.1	176	-	hypothetical protein SAOUHSC_00811
chr	NC_007795.1	792986	795769	+	3919375	-	SAOUHSC_00812	YP_499368.1	927	-	clumping factor
chr	NC_007795.1	797866	798888	+	3919378	-	SAOUHSC_00816	YP_499371.1	340	-	extracellular matrix and plasma binding protein
chr	NC_007795.1	799223	799693	+	3919379	-	SAOUHSC_00817	YP_499372.1	156	-	hypothetical protein SAOUHSC_00817
chr	NC_007795.1	800034	800720	+	3919380	-	SAOUHSC_00818	YP_499373.1	228	-	thermonuclease
chr	NC_007795.1	801077	801277	+	3919381	-	SAOUHSC_00819	YP_499374.1	66	-	hypothetical protein SAOUHSC_00819
chr	NC_007795.1	801773	801991	-	3919382	-	SAOUHSC_00820	YP_499375.1	72	-	hypothetical protein SAOUHSC_00820
chr	NC_007795.1	802053	802337	-	3919383	-	SAOUHSC_00821	YP_499376.1	94	-	hypothetical protein SAOUHSC_00821
chr	NC_007795.1	802425	802994	-	3919384	-	SAOUHSC_00822	YP_499377.1	189	-	hypothetical protein SAOUHSC_00822
chr	NC_007795.1	803182	803370	-	3919385	-	SAOUHSC_00823	YP_499378.1	62	-	hypothetical protein SAOUHSC_00823
chr	NC_007795.1	803399	803659	-	3919386	-	SAOUHSC_00824	YP_499379.1	86	-	hypothetical protein SAOUHSC_00824
chr	NC_007795.1	804000	804203	+	3919387	-	SAOUHSC_00825	YP_499380.1	67	-	hypothetical protein SAOUHSC_00825
chr	NC_007795.1	804200	804436	-	3919388	-	SAOUHSC_00826	YP_499381.1	78	-	hypothetical protein SAOUHSC_00826
chr	NC_007795.1	804682	805242	+	3919389	-	SAOUHSC_00827	YP_499382.1	186	-	hypothetical protein SAOUHSC_00827
chr	NC_007795.1	805315	805932	-	3918941	-	SAOUHSC_00828	YP_499383.1	205	-	hypothetical protein SAOUHSC_00828
chr	NC_007795.1	806087	806581	-	3918942	-	SAOUHSC_00830	YP_499384.1	164	-	hypothetical protein SAOUHSC_00830
chr	NC_007795.1	806980	807402	-	3918943	-	SAOUHSC_00831	YP_499385.1	140	-	hypothetical protein SAOUHSC_00831
chr	NC_007795.1	807550	808266	+	3918944	-	SAOUHSC_00832	YP_499386.1	238	-	3-dehydroquinate dehydratase
chr	NC_007795.1	808349	808888	+	3918945	-	SAOUHSC_00833	YP_499387.1	179	-	hypothetical protein SAOUHSC_00833
chr	NC_007795.1	809038	809358	-	3918946	-	SAOUHSC_00834	YP_499388.1	106	-	thioredoxin
chr	NC_007795.1	809502	809858	+	3918947	-	SAOUHSC_00835	YP_499389.1	118	-	hypothetical protein SAOUHSC_00835
chr	NC_007795.1	810016	810396	+	3918948	-	SAOUHSC_00836	YP_499390.1	126	-	glycine cleavage system protein H
chr	NC_007795.1	810460	810573	+	3918949	-	SAOUHSC_00837	YP_499391.1	37	-	hypothetical protein SAOUHSC_00837
chr	NC_007795.1	810575	811453	+	3918950	-	SAOUHSC_00838	YP_499392.1	292	-	hypothetical protein SAOUHSC_00838
chr	NC_007795.1	811872	811985	+	3918951	-	SAOUHSC_00839	YP_499393.1	37	-	hypothetical protein SAOUHSC_00839
chr	NC_007795.1	812195	812581	+	3918952	-	SAOUHSC_00840	YP_499394.1	128	-	hypothetical protein SAOUHSC_00840
chr	NC_007795.1	812574	812870	+	3918953	-	SAOUHSC_00841	YP_499395.1	98	-	hypothetical protein SAOUHSC_00841
chr	NC_007795.1	813120	814145	+	3918954	-	SAOUHSC_00842	YP_499396.1	341	-	ABC transporter ATP-binding protein
chr	NC_007795.1	814138	814833	+	3918955	-	SAOUHSC_00843	YP_499397.1	231	-	hypothetical protein SAOUHSC_00843
chr	NC_007795.1	814851	815672	+	3918956	-	SAOUHSC_00844	YP_499398.1	273	-	hypothetical protein SAOUHSC_00844
chr	NC_007795.1	816026	816220	+	3918957	-	SAOUHSC_00845	YP_499399.1	64	-	hypothetical protein SAOUHSC_00845
chr	NC_007795.1	816453	817304	-	3918958	-	SAOUHSC_00846	YP_499400.1	283	-	hypothetical protein SAOUHSC_00846
chr	NC_007795.1	817632	818393	+	3918959	-	SAOUHSC_00847	YP_499401.1	253	-	ABC transporter ATP-binding protein
chr	NC_007795.1	818491	819798	+	3918979	-	SAOUHSC_00848	YP_499402.1	435	-	hypothetical protein SAOUHSC_00848
chr	NC_007795.1	819904	821154	+	3918980	-	SAOUHSC_00849	YP_499403.1	416	-	aminotransferase
chr	NC_007795.1	821144	821608	+	3918981	-	SAOUHSC_00850	YP_499404.1	154	-	hypothetical protein SAOUHSC_00850
chr	NC_007795.1	821759	823156	+	3918982	-	SAOUHSC_00851	YP_499405.1	465	-	hypothetical protein SAOUHSC_00851
chr	NC_007795.1	823343	823480	+	3918983	-	SAOUHSC_00852	YP_499406.1	45	-	hypothetical protein SAOUHSC_00852
chr	NC_007795.1	823486	823800	-	3918984	-	SAOUHSC_00853	YP_499407.1	104	-	hypothetical protein SAOUHSC_00853
chr	NC_007795.1	824165	825205	+	3918985	-	SAOUHSC_00854	YP_499408.1	346	-	hypothetical protein SAOUHSC_00854
chr	NC_007795.1	825219	826286	+	3918986	-	SAOUHSC_00855	YP_499409.1	355	-	hypothetical protein SAOUHSC_00855
chr	NC_007795.1	826353	826451	+	3918987	-	SAOUHSC_00857	YP_499410.1	32	-	hypothetical protein SAOUHSC_00857
chr	NC_007795.1	826499	827347	+	3918988	-	SAOUHSC_00858	YP_499411.1	282	-	hypothetical protein SAOUHSC_00858
chr	NC_007795.1	827360	828187	+	3918989	-	SAOUHSC_00859	YP_499412.1	275	-	hypothetical protein SAOUHSC_00859
chr	NC_007795.1	828214	829533	+	3918990	-	SAOUHSC_00860	YP_499413.1	439	-	5-nucleotidase family protein
chr	NC_007795.1	829617	830534	+	3918991	-	SAOUHSC_00861	YP_499414.1	305	-	lipoyl synthase
chr	NC_007795.1	830664	831047	+	3918992	-	SAOUHSC_00862	YP_499415.1	127	-	hypothetical protein SAOUHSC_00862
chr	NC_007795.1	831126	831392	-	3918993	-	SAOUHSC_00863	YP_499416.1	88	-	hypothetical protein SAOUHSC_00863
chr	NC_007795.1	831490	831924	+	3918994	-	SAOUHSC_00864	YP_499417.1	144	-	hypothetical protein SAOUHSC_00864
chr	NC_007795.1	831924	832703	+	3918995	-	SAOUHSC_00865	YP_499418.1	259	-	hypothetical protein SAOUHSC_00865
chr	NC_007795.1	832811	833695	+	3918996	-	SAOUHSC_00866	YP_499419.1	294	-	D-isomer specific 2-hydroxyacid dehydrogenase NAD binding domain-containing protein
chr	NC_007795.1	833949	834059	+	3918997	-	SAOUHSC_00867	YP_499420.1	36	-	hypothetical protein SAOUHSC_00867
chr	NC_007795.1	834107	834259	+	3918998	-	SAOUHSC_00868	YP_499421.2	50	-	hypothetical protein SAOUHSC_00868
chr	NC_007795.1	834275	835732	+	3919216	-	SAOUHSC_00869	YP_499422.1	485	-	D-alanine--poly(phosphoribitol) ligase subunit 1
chr	NC_007795.1	835729	836943	+	3919217	-	SAOUHSC_00870	YP_499423.1	404	-	D-alanine transfer protein DltB
chr	NC_007795.1	836961	837197	+	3919218	-	SAOUHSC_00871	YP_499424.1	78	-	D-alanine--poly(phosphoribitol) ligase subunit 2
chr	NC_007795.1	837194	838369	+	3919219	-	SAOUHSC_00872	YP_499425.1	391	-	extramembranal protein
chr	NC_007795.1	838632	838874	-	3919220	-	SAOUHSC_00873	YP_499426.1	80	-	hypothetical protein SAOUHSC_00873
chr	NC_007795.1	838975	839298	+	3919221	-	SAOUHSC_00874	YP_499427.1	107	-	hypothetical protein SAOUHSC_00874
chr	NC_007795.1	839357	840421	-	3919222	-	SAOUHSC_00875	YP_499428.1	354	-	hypothetical protein SAOUHSC_00875
chr	NC_007795.1	840738	840974	+	3919223	-	SAOUHSC_00876	YP_499429.1	78	-	hypothetical protein SAOUHSC_00876
chr	NC_007795.1	840987	841346	+	3919224	-	SAOUHSC_00877	YP_499430.1	119	-	hypothetical protein SAOUHSC_00877
chr	NC_007795.1	841800	843008	+	3919225	-	SAOUHSC_00878	YP_499431.1	402	-	hypothetical protein SAOUHSC_00878
chr	NC_007795.1	843139	844614	+	3919226	-	SAOUHSC_00879	YP_499432.1	491	-	cytosol aminopeptidase
chr	NC_007795.1	845025	846341	+	3919227	-	SAOUHSC_00880	YP_499433.1	438	-	hypothetical protein SAOUHSC_00880
chr	NC_007795.1	846360	846734	+	3919228	-	SAOUHSC_00881	YP_499434.1	124	-	hypothetical protein SAOUHSC_00881
chr	NC_007795.1	846790	847944	-	3919229	-	SAOUHSC_00882	YP_499435.1	384	-	hypothetical protein SAOUHSC_00882
chr	NC_007795.1	848193	848549	-	3919230	-	SAOUHSC_00883	YP_499436.1	118	-	monovalent cation/H+ antiporter subunit G
chr	NC_007795.1	848527	848820	-	3919231	-	SAOUHSC_00884	YP_499437.1	97	-	monovalent cation/H+ antiporter subunit F
chr	NC_007795.1	848820	849299	-	3919232	-	SAOUHSC_00885	YP_499438.1	159	-	monovalent cation/H+ antiporter subunit E
chr	NC_007795.1	849301	850797	-	3919233	-	SAOUHSC_00886	YP_499439.1	498	-	monovalent cation/H+ antiporter subunit D
chr	NC_007795.1	850790	851119	-	3919234	-	SAOUHSC_00887	YP_499440.1	109	-	monovalent cation/H+ antiporter subunit C
chr	NC_007795.1	851131	851559	-	3921734	-	SAOUHSC_00888	YP_499441.1	142	-	monovalent cation/H+ antiporter subunit B
chr	NC_007795.1	851552	853957	-	3921735	-	SAOUHSC_00889	YP_499442.1	801	-	monovalent cation/H+ antiporter subunit A
chr	NC_007795.1	854088	854471	-	3921736	-	SAOUHSC_00890	YP_499443.1	127	-	hypothetical protein SAOUHSC_00890
chr	NC_007795.1	854535	855128	+	3921737	-	SAOUHSC_00891	YP_499444.1	197	-	cyclophilin-type peptidyl-prolyl cis-trans isomerase
chr	NC_007795.1	855577	855921	+	3921738	-	SAOUHSC_00892	YP_499445.1	114	-	hypothetical protein SAOUHSC_00892
chr	NC_007795.1	856283	857410	+	3921739	-	SAOUHSC_00893	YP_499446.1	375	-	FMN oxidoreductase
chr	NC_007795.1	857718	858908	+	3921740	rocD	SAOUHSC_00894	YP_499447.1	396	-	ornithine--oxo-acid transaminase
chr	NC_007795.1	859017	860261	+	3921741	-	SAOUHSC_00895	YP_499448.1	414	-	glutamate dehydrogenase
chr	NC_007795.1	860487	860678	+	3921742	-	SAOUHSC_00896	YP_499449.1	63	-	hypothetical protein SAOUHSC_00896
chr	NC_007795.1	860764	861693	-	3921743	-	SAOUHSC_00897	YP_499450.1	309	-	hypothetical protein SAOUHSC_00897
chr	NC_007795.1	861935	863314	-	3921744	-	SAOUHSC_00898	YP_499451.1	459	-	argininosuccinate lyase
chr	NC_007795.1	863304	864509	-	3921745	-	SAOUHSC_00899	YP_499452.1	401	-	argininosuccinate synthase
chr	NC_007795.1	864860	866191	+	3921746	pgi	SAOUHSC_00900	YP_499453.1	443	-	glucose-6-phosphate isomerase
chr	NC_007795.1	866516	867091	+	3921747	-	SAOUHSC_00901	YP_499454.1	191	-	hypothetical protein SAOUHSC_00901
chr	NC_007795.1	867096	867620	+	3921748	-	SAOUHSC_00902	YP_499455.1	174	-	signal peptidase IA
chr	NC_007795.1	867744	868211	+	3921749	-	SAOUHSC_00903	YP_499456.1	155	-	signal peptidase IB
